word_original	en	fr	de	ru	zh	es	ja	ko	it	claude_en	claude_fr	claude_de	claude_ru	claude_zh	claude_es	claude_ja	claude_ko	claude_it
structure	structure	structure	Struktur	структура	结构	estructura	構造	구조	struttura	['building', 'edifice', 'construction', 'framework']	['charpente', 'ossature', 'composition']	['Aufbau', 'Gefüge', 'Gliederung', 'Konstruktion']	['строение', 'конструкция', 'устройство']	['构造', '架构', '框架']	['construcción', 'edificación', 'organización', 'sistema']	['建造物', '組織', '体制', '骨組み']	"[""체계"", ""조직"", ""건물"", ""건축물""]"	"[""costruzione"", ""edificio"", ""impalcatura""]"
tie	tie	cravate	Krawatte	галстук	领带	corbata	ネクタイ	넥타이	cravatta	['knot', 'bond', 'link', 'connection']	['nœud']	['Schlips', 'Binder', 'Halsbinde']	['бабочка', 'шейный платок']	['领结', '领巾']	['lazo', 'nudo', 'empate']	['タイ', '縛り', '結び', '引き分け']	"[""타이"", ""매듭"", ""결속"", ""연결""]"	"[""nodo"", ""legame"", ""vincolo""]"
face	face	visage	Gesicht	лицо	脸	cara	顔	얼굴	faccia	['visage', 'countenance', 'mug', 'facade']	['figure', 'mine', 'physionomie']	['Antlitz', 'Miene', 'Visage', 'Fratze']	['физиономия', 'мордашка', 'облик']	['面孔', '脸蛋', '面容']	['rostro', 'semblante', 'faz', 'expresión']	['面', '表情', '面目', '顔面']	"[""안면"", ""용모"", ""표정"", ""외모""]"	"[""viso"", ""volto"", ""espressione""]"
bridge	bridge	pont	Brücke	мост	桥	puente	橋	다리	ponte	['span', 'crossing', 'viaduct', 'overpass']	['viaduc', 'passerelle']	['Übergang', 'Steg', 'Verbindung']	['мостик', 'переправа']	['桥梁', '桥墩', '桥面']	['viaducto', 'pasarela', 'conexión']	['橋梁', '架け橋', '橋渡し', 'ブリッジ']	"[""교량"", ""교각"", ""연결"", ""가교""]"	"[""viadotto"", ""passerella"", ""collegamento""]"
group	group	groupe	Gruppe	группа	群	grupo	集団	그룹	gruppo	['cluster', 'bunch', 'collection', 'assembly']	['ensemble', 'troupe', 'bande']	['Truppe', 'Bande', 'Verband', 'Ansammlung']	['коллектив', 'команда', 'объединение']	['团体', '组织', '集团']	['conjunto', 'equipo', 'colectivo', 'agrupación']	['グループ', '団体', '一団', '群れ']	"[""집단"", ""무리"", ""단체"", ""조직""]"	"[""insieme"", ""squadra"", ""compagnia""]"
platform	platform	plateforme	Plattform	платформа	平台	plataforma	台	플랫폼	piattaforma	['stage', 'podium', 'dais', 'rostrum']	['estrade', 'quai']	['Podium', 'Bühne', 'Tribüne', 'Standfläche']	['помост', 'перрон', 'площадка']	['月台', '讲台', '舞台']	['tarima', 'escenario', 'andén', 'base']	['プラットフォーム', '舞台', '基盤', '演壇']	"[""대"", ""무대"", ""기반"", ""연단""]"	"[""pedana"", ""palco"", ""banchina""]"
house	house	maison	Haus	дом	房子	casa	家	집	casa	['home', 'residence', 'dwelling', 'abode']	['demeure', 'logement', 'foyer']	['Gebäude', 'Wohnhaus', 'Bau', 'Anwesen']	['здание', 'жилище', 'строение']	['住宅', '宅子', '屋子']	['hogar', 'vivienda', 'domicilio', 'residencia']	['住宅', '邸宅', '屋敷', '建物']	"[""가옥"", ""주택"", ""가정"", ""가구""]"	"[""abitazione"", ""dimora"", ""residenza""]"
sun	sun	soleil	Sonne	солнце	太阳	sol	太陽	태양	sole	['star', 'sol', 'helios', 'daystar']	['astre', 'étoile']	['Stern', 'Himmelskörper', 'Gestirn']	['светило', 'звезда']	['日', '阳光', '太阳星']	['astro rey', 'estrella', 'luz solar']	['日', '陽', '日輪']	"[""해"", ""일"", ""햇빛"", ""태양열""]"	"[""astro"", ""stella"", ""luce""]"
meeting	meeting	réunion	Treffen	встреча	会议	reunión	会議	회의	riunione	['gathering', 'assembly', 'conference', 'congregation']	['assemblée', 'conférence', 'rencontre']	['Versammlung', 'Zusammenkunft', 'Sitzung', 'Besprechung']	['собрание', 'заседание', 'свидание']	['集会', '聚会', '会面']	['encuentro', 'asamblea', 'junta', 'cita']	['ミーティング', '集会', '会合', '懇談']	"[""모임"", ""집회"", ""회합"", ""미팅""]"	"[""incontro"", ""assemblea"", ""convegno""]"
history	history	histoire	Geschichte	история	历史	historia	歴史	역사	storia	['past', 'annals', 'chronicle', 'record']	['récit', 'chronique', 'annales']	['Vergangenheit', 'Historie', 'Chronik', 'Entwicklung']	['прошлое', 'летопись', 'хроника']	['史', '往事', '过去']	['crónica', 'relato', 'narración', 'pasado']	['史', '沿革', '履歴', '年代記']	"[""과거"", ""연혁"", ""사적"", ""사료""]"	"[""cronaca"", ""vicenda"", ""passato""]"
valley	valley	vallée	Tal	долина	山谷	valle	谷	계곡	valle	['dale', 'glen', 'dell', 'vale']	['val', 'vallon', 'dépression']	['Senke', 'Mulde', 'Niederung', 'Schlucht']	['низина', 'лощина', 'ложбина']	['峡谷', '谷地', '溪谷']	['cañada', 'vega', 'hondonada']	['渓谷', '峡谷', '渓間', '谷間']	"[""골짜기"", ""협곡"", ""분지"", ""산골""]"	"[""vallata"", ""conca"", ""avvallamento""]"
square	square	carré	Platz	площадь	广场	cuadrado	広場	광장	piazza	['plaza', 'quad', 'block', 'court']	['quadrilatère', 'place']	['Quadrat', 'Viereck', 'Marktplatz']	['квадрат', 'сквер']	['街区', '方形', '四方形']	['plaza', 'cuadro', 'rectángulo']	['四角', '正方形', '平方', '四角形']	"[""정사각형"", ""네모"", ""사각"", ""장소""]"	"[""quadrato"", ""largo"", ""spiazzo""]"
generation	generation	génération	Generation	поколение	世代	generación	世代	세대	generazione	['era', 'age', 'cohort', 'progeny']	['âge', 'époque']	['Altersgruppe', 'Geschlecht', 'Nachkommenschaft']	['род', 'генерация']	['一代', '年代', '时代']	['época', 'era', 'promoción', 'descendencia']	['時代', '年代', '世', '一族']	"[""시대"", ""연령층"", ""년대"", ""대""]"	"[""epoca"", ""era"", ""stirpe""]"
south	south	sud	Süden	юг	南	sur	南	남	sud	['austral', 'meridional']	['midi']	['Süd', 'Südrichtung', 'Mittag']	['южный', 'зюйд']	['南方', '南边', '南部']	['mediodía', 'austral', 'meridional']	['南部', '南側', '南方', '南極']	"[""남쪽"", ""남부"", ""남방"", ""남극""]"	"[""meridione"", ""mezzogiorno"", ""austro""]"
city	city	ville	Stadt	город	城市	ciudad	都市	도시	città	['metropolis', 'urban', 'municipality', 'town']	['cité', 'agglomération', 'métropole']	['Großstadt', 'Metropole', 'Ort', 'Gemeinde']	['мегаполис', 'урбанистический центр']	['都市', '市区', '城镇']	['urbe', 'metrópoli', 'municipio', 'localidad']	['市', '都会', '街', 'シティ']	"[""시"", ""도회지"", ""도심"", ""시내""]"	"[""metropoli"", ""centro urbano"", ""comune""]"
language	language	langue	Sprache	язык	语言	idioma	言語	언어	lingua	['tongue', 'speech', 'dialect', 'lingo']	['idiome', 'langage', 'parler']	['Idiom', 'Muttersprache', 'Fremdsprache', 'Zunge']	['речь', 'наречие', 'диалект']	['语种', '口语', '方言']	['lengua', 'habla', 'dialecto', 'jerga']	['言葉', '国語', '舌', 'ランゲージ']	"[""말"", ""방언"", ""모국어"", ""외국어""]"	"[""idioma"", ""linguaggio"", ""favella""]"
speed	speed	vitesse	Geschwindigkeit	скорость	速度	velocidad	速度	속도	velocità	['velocity', 'pace', 'rate', 'momentum']	['rapidité', 'célérité', 'allure']	['Tempo', 'Schnelligkeit', 'Eile', 'Rasanz']	['быстрота', 'темп', 'стремительность']	['速率', '快慢', '迅速']	['rapidez', 'celeridad', 'prisa', 'ritmo']	['スピード', '速さ', '速力', '迅速']	"[""속력"", ""빠르기"", ""급속"", ""신속""]"	"[""rapidità"", ""celerità"", ""prestezza""]"
ground	ground	sol	Boden	земля	地面	suelo	地面	땅	terra	['earth', 'soil', 'land', 'terrain']	['terre', 'terrain', 'plancher']	['Erde', 'Grund', 'Erdboden', 'Untergrund']	['почва', 'грунт', 'поверхность']	['地板', '土地', '场地']	['tierra', 'piso', 'terreno', 'superficie']	['大地', '土地', '地表', '土']	"[""지면"", ""토지"", ""대지"", ""지반""]"	"[""suolo"", ""terreno"", ""pavimento""]"
tail	tail	queue	Schwanz	хвост	尾巴	cola	尻尾	꼬리	coda	['rear', 'stub', 'appendage', 'rudder']	['appendice', 'bout']	['Schweif', 'Rute', 'Ende']	['шлейф', 'конец']	['尾', '尾部', '尾端']	['rabo', 'apéndice', 'final', 'extremo']	['尾', '後部', '末尾', '後方']	"[""미"", ""꽁지"", ""뒤"", ""후미""]"	"[""appendice"", ""strascico"", ""fila""]"
mother	mother	mère	Mutter	мать	母亲	madre	母	어머니	madre	['mom', 'mama', 'parent', 'matriarch']	['maman', 'génitrice']	['Mama', 'Mutti', 'Mami', 'Gebärerin']	['мама', 'родительница', 'матушка']	['妈妈', '妈', '娘']	['mamá', 'progenitora', 'matriarca']	['母親', 'お母さん', 'ママ', '母性']	"[""엄마"", ""모친"", ""엄마"", ""산모""]"	"[""mamma"", ""genitrice"", ""matrice""]"
east	east	est	Osten	восток	东	este	東	동	est	['orient', 'levant']	['orient']	['Ost', 'Ostrichtung', 'Morgen']	['восточный', 'ост']	['东方', '东边', '东部']	['oriente', 'levante', 'oriental']	['東部', '東側', '東方', '東洋']	"[""동쪽"", ""동부"", ""동방"", ""동양""]"	"[""oriente"", ""levante""]"
speech	speech	discours	Rede	речь	演讲	discurso	演説	연설	discorso	['talk', 'address', 'oration', 'discourse']	['allocution', 'exposé', 'harangue']	['Ansprache', 'Vortrag', 'Wortmeldung', 'Referat']	['выступление', 'обращение', 'высказывание']	['讲话', '发言', '致辞']	['oratoria', 'alocución', 'charla', 'conferencia']	['スピーチ', '講演', '弁論', '話']	"[""담화"", ""강연"", ""발언"", ""연설문""]"	"[""orazione"", ""allocuzione"", ""conferenza""]"
child	child	enfant	Kind	ребенок	孩子	niño	子供	아이	bambino	['kid', 'youngster', 'youth', 'offspring']	['gamin', 'gosse', 'môme']	['Kleinkind', 'Sprössling', 'Nachwuchs', 'Nachkomme']	['дитя', 'малыш', 'чадо']	['儿童', '小孩', '子女']	['infante', 'pequeño', 'menor', 'hijo']	['子ども', '児童', '子', '幼児']	"[""어린이"", ""아동"", ""자녀"", ""미성년자""]"	"[""fanciullo"", ""bimbo"", ""piccolo""]"
tower	tower	tour	Turm	башня	塔	torre	塔	탑	torre	['spire', 'turret', 'steeple', 'belfry']	['donjon', 'beffroi']	['Hochhaus', 'Wolkenkratzer', 'Wachturm']	['вышка', 'небоскреб']	['塔楼', '高塔', '宝塔']	['campanario', 'rascacielos', 'torreón']	['タワー', '高層', '尖塔', '櫓']	"[""타워"", ""첨탑"", ""고층"", ""망루""]"	"[""campanile"", ""torretta"", ""grattacielo""]"
hair	hair	cheveux	Haar	волосы	头发	pelo	髪	머리카락	capelli	['locks', 'mane', 'tresses', 'strands']	['chevelure', 'tignasse', 'crinière']	['Frisur', 'Locken', 'Mähne', 'Kopfhaar']	['прическа', 'шевелюра', 'локоны']	['发', '毛发', '发丝']	['cabello', 'melena', 'cabellera', 'vello']	['毛', '頭髪', 'へア', '毛髪']	"[""두발"", ""모발"", ""머리털"", ""헤어""]"	"[""chioma"", ""capigliatura"", ""acconciatura""]"
person	person	personne	Person	человек	人	persona	人	사람	persona	['individual', 'human', 'being', 'soul']	['individu', 'être humain']	['Mensch', 'Individuum', 'Persönlichkeit', 'Wesen']	['личность', 'персона', 'индивид']	['个人', '人类', '人员']	['individuo', 'sujeto', 'ser humano']	['人間', '個人', '人物', '者']	"[""인간"", ""인물"", ""개인"", ""남자""]"	"[""individuo"", ""soggetto"", ""essere umano""]"
official	official	officiel	Beamter	чиновник	官员	funcionario	役人	공무원	funzionario	['representative', 'administrator', 'functionary', 'bureaucrat']	['formel', 'administratif']	['Angestellter', 'Funktionär', 'Staatsdiener']	['служащий', 'должностное лицо', 'госслужащий']	['公务员', '官', '政府职员']	['empleado público', 'burócrata', 'autoridad']	['公務員', '職員', '担当者', '公職者']	"[""관리"", ""관료"", ""직원"", ""공직자""]"	"[""impiegato"", ""burocrate"", ""addetto""]"
office	office	bureau	Büro	офис	办公室	oficina	事務所	사무실	ufficio	['bureau', 'department', 'agency', 'workplace']	['cabinet', 'local', 'étude']	['Arbeitszimmer', 'Geschäftsstelle', 'Amt', 'Dienststelle']	['контора', 'бюро', 'кабинет']	['办公处', '事务所', '办事处']	['despacho', 'bufete', 'escritorio', 'dependencia']	['オフィス', '役所', '局', '部署']	"[""부서"", ""관청"", ""직장"", ""사무소""]"	"[""studio"", ""sede"", ""dipartimento""]"
rock	rock	roche	Fels	скала	岩石	roca	岩	바위	roccia	['stone', 'boulder', 'pebble', 'mineral']	['pierre', 'caillou', 'rocher']	['Stein', 'Gestein', 'Klippe', 'Felsbrocken']	['камень', 'утес', 'валун']	['石头', '岩', '岩块']	['piedra', 'peñasco', 'peña', 'canto']	['石', '岩石', '岩盤', 'ロック']	"[""돌"", ""암석"", ""바위산"", ""절벽""]"	"[""pietra"", ""sasso"", ""masso""]"
power	power	pouvoir	Macht	власть	力量	poder	力	힘	potere	['strength', 'force', 'energy', 'might']	['puissance', 'autorité', 'force']	['Kraft', 'Stärke', 'Energie', 'Gewalt']	['сила', 'мощь', 'энергия']	['能力', '力气', '权力']	['fuerza', 'potencia', 'energía', 'autoridad']	['能力', '勢力', '権力', 'パワー']	"[""능력"", ""권력"", ""전력"", ""세력""]"	"[""forza"", ""energia"", ""autorità"", ""dominio""]"
summer	summer	été	Sommer	лето	夏天	verano	夏	여름	estate	['estival', 'summery', 'midsummer']	['canicule', 'belle saison']	['Sommerzeit', 'Sommersaison']	['летний сезон']	['夏季', '盛夏', '暑期']	['estío', 'estival']	['夏季', '夏場', '盛夏', '夏期']	"[""하계"", ""무더위"", ""성하"", ""한여름""]"	"[""estivo"", ""stagione calda""]"
table	table	table	Tisch	стол	桌子	mesa	テーブル	탁자	tavolo	['desk', 'counter', 'board', 'surface']	['bureau', 'comptoir', 'plateau']	['Schreibtisch', 'Pult', 'Platte']	['письменный стол', 'парта', 'доска']	['桌', '台', '案']	['escritorio', 'tablero', 'mostrador']	['机', '卓', '台']	['책상', '테이블', '상']	['scrivania', 'banco', 'superficie']
car	car	voiture	Auto	машина	车	coche	車	차	auto	['vehicle', 'automobile', 'motorcar']	['automobile', 'véhicule', 'bagnole']	['Wagen', 'Fahrzeug', 'Automobil']	['автомобиль', 'автомашина', 'тачка']	['汽车', '轿车', '小汽车']	['automóvil', 'vehículo', 'carro']	['自動車', '乗用車', 'カー']	['자동차', '승용차', '차량']	['automobile', 'macchina', 'vettura']
dog	dog	chien	Hund	собака	狗	perro	犬	개	cane	['canine', 'hound', 'pooch', 'pup']	['toutou', 'cabot', 'clebs']	['Köter', 'Wauwau', 'Kläffer']	['пёс', 'шавка', 'барбос']	['犬', '狗狗', '犬只']	['can', 'chucho', 'perrito']	['ワンちゃん', '犬っころ', 'イヌ']	['강아지', '멍멍이', '개']	['cagnolino', 'fido', 'cucciolo']
cat	cat	chat	Katze	кошка	猫	gato	猫	고양이	gatto	['feline', 'kitten', 'kitty', 'tomcat']	['minet', 'matou', 'minou']	['Mieze', 'Kater', 'Kätzchen']	['кот', 'киска', 'котёнок']	['猫咪', '喵', '猫儿']	['minino', 'felino', 'gatito']	['ネコ', 'ニャンコ', '猫ちゃん']	['냥이', '야옹이', '묘']	['micio', 'felino', 'gattino']
bird	bird	oiseau	Vogel	птица	鸟	pájaro	鳥	새	uccello	['fowl', 'feathered friend', 'avian']	['volatile', 'emplumé', 'piaf']	['Federvieh', 'Piepmatz', 'Geflügel']	['пернатое', 'пташка', 'пичуга']	['禽', '飞禽', '鸟儿']	['ave', 'volátil', 'pajarito']	['小鳥', '鳥類', 'バード']	['조류', '날짐승', '새']	['volatile', 'pennuto', 'aviario']
fish	fish	poisson	Fisch	рыба	鱼	pez	魚	물고기	pesce	['seafood', 'marine life', 'swimmer']	['poiscaille', 'fruits de mer', 'produit de la pêche']	['Fische', 'Meeresfrüchte', 'Schwimmer']	['рыбка', 'рыбёшка', 'морепродукт']	['鱼类', '水产', '游鱼']	['pescado', 'marisco', 'nadador']	['魚類', '水産物', 'フィッシュ']	['어류', '생선', '해산물']	['pesce', 'pescato', 'prodotto ittico']
flower	flower	fleur	Blume	цветок	花	flor	花	꽃	fiore	['blossom', 'bloom', 'petals']	['floraison', 'pétale', 'bouton']	['Blüte', 'Pflanze', 'Gewächs']	['бутон', 'соцветие', 'цветочек']	['花朵', '花卉', '花儿']	['floración', 'pétalo', 'capullo']	['花弁', '花びら', 'フラワー']	['꽃잎', '화초', '꽃송이']	['bocciolo', 'fiorita', 'petalo']
house	house	maison	Haus	дом	房子	casa	家	집	casa	['home', 'residence', 'dwelling']	['foyer', 'demeure', 'résidence']	['Wohnung', 'Gebäude', 'Unterkunft']	['жилище', 'здание', 'жильё']	['住宅', '家庭', '住所']	['hogar', 'vivienda', 'residencia']	['住居', '建物', 'ホーム']	['가정', '주택', '거처']	['abitazione', 'dimora', 'residenza']
hand	hand	main	Hand	рука	手	mano	手	손	mano	['palm', 'fist', 'digits']	['paume', 'poing', 'mitaine']	['Handfläche', 'Faust', 'Pfote']	['ладонь', 'кулак', 'пятерня']	['手掌', '拳头', '掌']	['palma', 'puño', 'zarpa']	['掌', '握り拳', '手のひら']	['손바닥', '주먹', '장갑']	['palmo', 'pugno', 'manopola']
food	food	nourriture	Essen	еда	食物	comida	食べ物	음식	cibo	['nourishment', 'sustenance', 'nutrition']	['aliment', 'alimentation', 'mets']	['Nahrung', 'Lebensmittel', 'Speise']	['пища', 'продукты', 'кушанье']	['食品', '食材', '餐']	['alimento', 'alimentación', 'nutrición']	['食品', '栄養', '食事']	['식품', '먹거리', '식량']	['alimento', 'nutrimento', 'vitto']
paper	paper	papier	Papier	бумага	纸	papel	紙	종이	carta	['sheet', 'document', 'parchment']	['feuille', 'document', 'parchemin']	['Blatt', 'Dokument', 'Bogen']	['лист', 'документ', 'бумажка']	['纸张', '文件', '纸条']	['hoja', 'documento', 'folio']	['用紙', '書類', 'ペーパー']	['서류', '지폐', '문서']	['foglio', 'documento', 'pergamena']
phone	phone	téléphone	Telefon	телефон	电话	teléfono	電話	전화	telefono	['mobile', 'cellphone', 'telephone']	['portable', 'mobile', 'combiné']	['Handy', 'Mobiltelefon', 'Fernsprecher']	['мобильник', 'сотовый', 'трубка']	['手机', '电话机', '通讯器']	['móvil', 'celular', 'aparato']	['携帯', '電話機', 'スマホ']	['휴대폰', '핸드폰', '통신기']	['cellulare', 'telefonino', 'apparecchio']
road	road	route	Straße	дорога	路	carretera	道路	길	strada	['street', 'path', 'highway']	['rue', 'chemin', 'voie']	['Weg', 'Bahn', 'Pfad']	['путь', 'шоссе', 'тракт']	['道', '公路', '马路']	['camino', 'vía', 'ruta']	['道', '通り', 'ロード']	['도로', '가도', '노']	['via', 'percorso', 'cammino']
key	key	clé	Schlüssel	ключ	钥匙	llave	鍵	열쇠	chiave	['opener', 'lock', 'password']	['passe', 'serrure', 'code']	['Schloss', 'Code', 'Passwort']	['отмычка', 'шифр', 'пароль']	['锁', '密码', '钥']	['cerradura', 'clave', 'código']	['錠', '暗号', 'キー']	['자물쇠', '암호', '비밀번호']	['serratura', 'password', 'codice']
